name,party,speech
"
Karsten Klein",FDP,"Sehr geehrte Frau Präsidentin! Vielen Dank, dass Sie 
die Kurzintervention zulassen. – Sehr geehrter Herr Kol-lege Droßmann, das, was Sie gerade hier abgelegt haben, 
ist fern jeglicher Realität

und fern dessen, was in den letzten Monaten hier in diesem Haus und auch im Haushaltsausschuss stattgefun-
den hat.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27500 
(A) 
(B) (C) 
(D) Falko Droßmann 
Seit Mitte letzten Jahres wird die Frage der 3-Milliar-
den-Euro-V orlage diskutiert. Und das Bundesverteidi-
gungsministerium hat auf Anweisung des Kanzleramtes diese Vorlage niemals an das Finanzministerium über-
sandt. Es liegt bis heute keine Vorlage vor, und die Ver-
antwortung trägt allein Bundeskanzler Olaf Scholz.

Wir Freien Demokraten haben uns zu jedem Zeitpunkt 
für die Unterstützung der Ukraine eingesetzt. Im Übrigen 
möchte ich Ihnen sagen: Es geht nicht um die Frage, ob es 
eine Notlage ist, sondern es geht um die Frage, ob es eine Notlage im Sinne des Artikels 115 Grundgesetz ist. Sie halten diese Woche das Grundgesetz hoch. Lesen Sie den 
Passus! Dann werden Sie feststellen: Ihre Forderung, der 
Vorschlag des Bundeskanzlers, ist verfassungswidrig, und dafür gibt es Gutachten.

Wir – SPD, Grüne und FDP – haben gemeinsam einen"
"
Falko Droßmann",SPD,"Herr Kollege, was klar ist und was wir alle gesehen 
haben, ist, dass in der Zeit, als die FDP das Finanzminis-terium hatte, die Anzahl der Papiere, die da eingegangen 
und abgefordert worden sind, ins Unendliche gestiegen 
ist:
(Dorothee Bär [CDU/CSU]: Whataboutism!)
Verwendungsnachweise, tausendseitige Vorlagen, ein un-glaubliches Bürokratiemonster, das Sie im Finanzminis-terium geschaffen haben.

Lesen Sie sich doch mal durch, was Sie in Ihrem An-
trag schreiben! Da steht drin: hier 5,5 Milliarden Euro, dann haben wir noch mal 1,1 Milliarden Euro an über-
planmäßigen Ausgaben, an Verpflichtungsermächtigun-
gen. – Sie schmeißen mit den Milliarden um sich. An keiner Stelle schreiben Sie, wo das Geld herkommen soll; 
an keiner einzigen Stelle in diesem Antrag schreiben Sie 
das."
"
Andreas Jung",CDU/CSU,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! 
Ich will mich bei Ingrid Nestle für die konstruktive Zu-
sammenarbeit im Ausschuss für Energie und Klima be-
danken. Gerade in Zeiten, in denen man sich als Vertreter von Regierung und Opposition, also in unterschiedlichen 
Rollen, gegenübersteht, ist entscheidend, dass man mit 
Respekt voreinander Debatten führt. Dafür herzlichen Dank!
Damit zur Sache. Wir sind in einer Zeit, in der die 
Regierung keine Mehrheit hat, in der wir aber in wichti-
gen Punkten Handlungsfähigkeit im Parlament zeigen. Das ist bei diesen Punkten, denen wir heute zustimmen 
werden, entscheidend. Wir werden damit aber die grund-
legenden Weichenstellungen, die notwendig sind für die Erreichung der Klimaziele und dafür, damit die Energie-
wende zum Erfolg kommt, nicht erreichen können. Da 
brauchen wir grundlegende neue Weichenstellungen in der nächsten Legislaturperiode.

Darum ringen wir, und da stehen wir uns mit unterschied-lichen Modellen im Wahlkampf gegenüber. Das muss in der nächsten Legislaturperiode auf den Weg gebracht 
werden, damit wir Klimaschutz und die Energiewende 
zum Erfolg machen.

Aber wir zeigen jetzt, dass es unsere Aufgabe ist, 
dringliche Probleme in der politischen Mitte zu lösen. Deshalb ist das ein wichtiger Schritt. Ich sagte: Lösungen Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27504 
(A) 
(B) (C) 
(D) 
in der politischen Mitte. Aber hier sind es Notlösungen, 
weil dies allesamt Gesetze sind in Bereichen, wo wir jetzt 
handeln müssen, damit sich in den nächsten Wochen und Monaten nicht negative Auswirkungen zeigen und um 
Schaden abzuwenden.
Worum geht es? Es geht um die Planungssicherheit bei 
der Kraft-Wärme-Kopplung. Da haben wir lange auf eine gesetzliche Regelung gedrungen. Dies auf den Weg zu 
bringen, war vor dem Scheitern der Ampel nicht gelun -
gen. Jetzt haben wir einen Investitionsstau, der aufgelöst werden muss. Deshalb begrüßen wir es, dass auf 
Grundlage unserer Gesetzesinitiative eine Regelung 
möglich wurde, die allerdings nicht so weit geht, wie wir es uns gewünscht hätten. Es gab europarechtliche 
Bedenken, weshalb es eine breitere Einigung nicht gege -
ben hat. Aber wir schaffen damit eine Perspektive, dass es 
bei der Kraft-Wärme-Kopplung, der Nutzung von Strom 
und Wärme, vorangehen kann. Es kann investiert werden. 
Das ist ein wichtiger Schritt, und deshalb gehen wir ihn mit.

Die Potenziale der Bioenergie wurden in den letzten 
Jahren nicht in der Weise, in der es möglich und notwen-
dig ist, ausgeschöpft.

Jetzt drohen Abschaltungen von Biogasanlagen, die aus 
dem EEG rausfallen. Damit droht der Beitrag, den sie 
leisten, um Wärmenetze mit klimafreundlicher Wärme zu beschicken, zu entfallen. Es droht die Abschaltung von Biogasanlagen, die wir brauchen, um Flexibilitäten 
zu nutzen und Sonne und Wind zu ergänzen, obwohl wir 
sie dringend brauchen. Deshalb haben wir vehement auf Anschlussregelungen gedrungen. Auch da sage ich: Wir 
wären über das, was jetzt auf dem Tisch liegt, hinaus -
gegangen; da muss man in der nächsten Legislaturpe-
riode noch mal ran. Aber das ist ein wichtiger Schritt, 
der erreicht wurde. Jetzt müssen die Abstellungen ver-
mieden werden. Wir dürfen nicht Investitionsruinen schaffen in einer Zeit, wo wir Bioenergie als verlässliche Energie brauchen. Deshalb sind wir auch nach intensiven"
"
Michael Kruse",FDP,"Sehr geehrte Frau Präsidentin! Geschätzte Kolleginnen 
und Kollegen! Das, was Anfang dieser Woche passiert 
ist, hat uns überrascht. Viele haben das ja nicht mit -
bekommen; deswegen möchte ich es kurz erzählen: Am Montagabend um 20.45 Uhr
(Dr. Ingrid Nestle [BÜNDNIS 90/DIE GRÜ-
NEN]: Sonntag!)
werden den Fraktionen fünf Gesetzentwürfe zugeleitet. Das war eine gute Überraschung. – Am Sonntag hat uns eine Mail des Sekretariats erreicht, die von Fehlern ge -
spickt war und auch keine finalen Versionen beinhaltet hat. Darauf kann man sich nicht verlassen, Frau Kollegin; das wissen Sie.
Das Verfahren, kurzfristig Gesetze zur Abstimmung zu 
stellen, ist für diese Legislaturperiode beispielhaft.
(Felix Schreiner [CDU/CSU]: Sie waren ja 
lange dabei!)
Aber fünf Gesetze am Montagabend zu verschicken und am Mittwochmorgen im Ausschuss zur Abstimmung zu 
stellen, das hat es noch nicht gegeben. So etwas hat es 
wirklich nicht gegeben, auch nicht auf dem Höhepunkt der Energiekrise 2022. Und wann immer der Kollege Heilmann aus der Union hier oder im Ausschuss das Ver -
fahren hier im Hause kritisiert hat, haben wir erklärt, warum dieses Vorgehen einmalig notwendig ist, bei ein-zelnen Gesetzen. Fünf Gesetze vorzulegen und damit das 
parlamentarische Verfahren zu quälen, ist einem Ab-
schluss dieser Legislaturperiode nicht angemessen.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27506 
(A) 
(B) (C) 
(D) Dr. Nina Scheer 

Frau Präsidentin – da Sie ja nun gerade da oben sit-
zen –, wir haben uns in dieser Sache auch an Sie gewandt. 
Und es wäre, glaube ich, gut gewesen, wenn Sie unserem 
Wunsch, die Verfahren in diesem Hause zu ordnen, auch 
nachgekommen wären. Ich glaube, genau dazu dient das Schreiben, das wir an Sie gerichtet haben. Eine Beant -
wortung vor der heutigen Beschlussfassung hätte diesem 
Hause sehr gutgetan.

Selten gibt es bei Gesetzen die Möglichkeit, Alternati-
ven zu vergleichen. Warum? Weil die Opposition immer 
sagen kann: Ihr habt ein Gesetz gemacht, aber wir hätten das alles viel besser gemacht. – Den Beweis allerdings 
kann man ja gar nicht erbringen; deswegen kann man das 
auch easy behaupten. Das ist hier anders. Es gibt mit dem EnWG 4.0 gesetzliche Grundlagen, die schon im Sommer letzten Jahres geeint waren; das hieß damals 
„Wirtschaftsdynamisierungspaket“. Deswegen lässt sich 
auch glasklar zeigen, was die FDP bei Rot-Grün raus -
geholt hat und was die CDU/CSU bei Rot-Grün raus-
geholt hat. Und ich muss sagen, man hat den Eindruck, 
dass die Union in Sachen Verhandlung von Gesetzen ein bisschen eingerostet ist. Denn ganz wesentliche Inhalte, 
die das EnWG 4.0 beinhaltet hat, tauchen hier nicht mehr 
auf: Absenkung der Direktvermarktungsschwelle – na -
türlich müssen auch kleinere Anlagen im Bereich Solar in die Direktvermarktung – und eine Steuerbarkeits-
schwelle – aber nicht bei 7 kW;
(Dr. Hendrik Hoppenstedt [CDU/CSU]: Haben 
Sie mal festgestellt, dass wir 19 zweite, dritte Lesungen diese Woche mitmachen? Wie wäre es mal mit „Danke“? – Gegenruf der Abg. 
Dr. Ingrid Nestle [BÜNDNIS 90/DIE GRÜ -
NEN])
denn dann bauen jetzt alle Anlagen mit weniger als 7 kW. 
Wir sprechen uns wieder, und Sie alle werden das hier in 
der nächsten Legislaturperiode beklagen.
All diese Regelungen sorgen dafür, dass jedes Jahr im 
PV-Bereich in der Größenordnung eines Großkraftwerks 
nicht gesteuert werden kann. Ich meine, Sie von den 
Grünen haben sich immer beschwert, dass große Kraft -
werke nicht so easy steuerbar sind, dass sie nicht flexibel 
genug auf Erneuerbare im Netz reagieren. Hier sorgen Sie 
dafür, dass ein Großkraftwerk in Deutschland jedes Jahr 
nicht steuerbar ist. Das halten wir für grundfalsch. Des -
wegen lehnen wir diesen schwarz-grün-roten Kompro-
miss auch ab, meine Damen und Herren.

Wichtiger als das, was hier aufgeschrieben ist, ist aller-
dings, was hier nicht aufgeschrieben ist, was nicht ein-gebracht wird. Andreas Jung, Rede vom 20. Dezember 
2024 – das ist einen Monat her –: „CDU und CSU für CCS und CCU.“ Meine lieben Kolleginnen und Kolle -
gen, ich will Sie nicht auf die Folter spannen: Welches Gesetz liegt heute nicht vor?(Dr. Ingrid Nestle [BÜNDNIS 90/DIE GRÜ-
NEN]: HGÜ! RED III! Wasserstoff! Geother-
mie!)
Das, was Investitionen im Milliardenbereich in Deutsch-land auslösen könnte, nämlich das zu CCS und CCU. – 
„Wasserstoff und Geothermie“ ruft die Kollegin Nestle 
rein und hat recht.
(Dr. Ingrid Nestle [BÜNDNIS 90/DIE GRÜ-
NEN]: Hätten Sie mit uns einen können!)
Sie haben auch das Wasserstoffbeschleunigungsgesetz heute nicht vorgelegt,
(Dr. Julia Verlinden [BÜNDNIS 90/DIE GRÜ-NEN]: Wieso nicht vorgelegt? Wir wollten das 
gerne verhandeln! Ihr wolltet nicht mehr!)
das Gesetz, zu dem alle Parteien der demokratischen Mitte hier immer erklärt haben, dass sie das unbedingt 
wollen. Sie haben es nicht vorgelegt, und das ist eine große Schwäche.

Alle Gesetze, die große Investitionen auslösen, liegen 
heute nicht vor. Diese schwarz-grün-rote Koalition ist 
kein Zukunftsmodell."
"
Michael Kruse",FDP,"Gerne; solange er noch der CDU/CSU-Fraktion ange-
hört und nicht zu den Grünen wechselt."
"
Andreas Jung",CDU/CSU,"Frau Präsidentin! Geschätzter Kollege Kruse, Sie kön-
nen versichert sein: Ich bin mit ganzem Herzen Christde-
mokrat. Und als Christdemokrat will ich Ihnen ganz klar 
sagen: Das, was heute auf dem Tisch liegt, sind Notlösun-gen, die notwendig sind, um Schäden abzuwenden, die 
auftreten würden, wenn in den nächsten Wochen nichts 
passiert.
Ich frage Sie, ob Sie bereit sind, zur Kenntnis zu neh-
men, dass wir als CDU und CSU bereits zu der Zeit, als Sie noch der Regierung angehört haben, darauf gedrun-gen haben, dass eine gesetzliche Regelung für CCS und CCU vorgenommen wird, nämlich das Kohlendioxid- 
Speicherungsgesetz. Wir drängen auch jetzt weiter da-
rauf. Sie werden die Debatte verfolgt haben und fest-gestellt haben, dass wir Bundesminister Habeck und 
Kanzler Olaf Scholz aufgefordert haben, das eigene Ge-
setz jetzt mit ihren Fraktionen zu beschließen, dass es Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27507 
(A) 
(B) (C) 
(D) Michael Kruse 
aber die Fraktionen von SPD und Grünen waren, die das 
Gesetz, das ihr Minister Habeck und ihr Kanzler Olaf 
Scholz in der Regierung beschlossen haben, blockieren. Unsere Haltung ist klar: Wir wollen das nach wie vor 
beschließen. Aber wir stellen fest: Es gibt hier eine Blo-
ckade bei den Fraktionen von SPD und Grünen."
"
Andreas Jung",CDU/CSU,"Sind Sie bereit, das zur Kenntnis zu nehmen?"
"
Michael Kruse",FDP,"Herr Kollege, herzlichen Dank, dass Sie mir noch mal 
die Möglichkeit geben, darauf einzugehen, wie das Ganze hier zustande gekommen ist und wie es gekommen 
ist, dass dieses Gesetz heute nicht vorliegt.
Die beiden Rest-Regierungsfraktionen haben sich an 
die beiden demokratischen Oppositionsfraktionen mit der Frage gewandt, ob in dieser Legislaturperiode noch 
Gesetzgebungen möglich wären. Dann ist man als Oppo -
sitionsfraktion – als FDP-Oppositionsfraktion, als CDU/ CSU-Oppositionsfraktion – in einer privilegierten Lage; 
denn man kann sich im Prinzip aussuchen, was man auf-
ruft, um einen Kompromiss zu erzielen.
Ich möchte Ihnen sagen, was wir aufgerufen haben; 
denn das findet ja hinter den Kulissen statt. Wir haben gesagt: Wir als FDP-Fraktion sind selbstverständlich weiterhin bereit, wichtige, dringende Gesetze in dieser 
Legislaturperiode zu beschließen. Wenn das aber der 
Fall sein soll, dann müssen zwei Dinge passieren:

Erstens müssen die negativen Strompreise geregelt wer-den. Das ist nämlich das, was wir in den letzten zwei Jahren in der Regierungszeit vorangetrieben haben und wo wir unsere beiden damaligen Partner erst zum Jagen 
tragen mussten.

Und zweitens muss auch das Gesetz, das am längsten bei uns liegt, durch den Deutschen Bundestag, nämlich das 
Gesetz zu CCS und CCU.
(Dr. Ingrid Nestle [BÜNDNIS 90/DIE GRÜ-NEN]: Sie sind auch noch stolz darauf, dass Sie andere Gesetze in Geiselhaft genommen 
haben!)
Wir haben diese beiden Forderungen aufgerufen und 
sind dann nicht mehr kontaktiert worden. Sie wiederum 
haben dieses Gesetz nicht zum Gegenstand und zur Basis für eine Einigung gemacht. Deswegen haben Sie es hier 
im Deutschen Bundestag nicht durchverhandeln können.
(Andreas Jung [CDU/CSU]: Drei Jahre Zeit! Drei Jahre Zeit, Herr Kruse! Drei Jahre Zeit 
hätten Sie gehabt!)Ich nehme zur Kenntnis, dass Sie immer sagen, dass Sie 
das Gesetz zu CCS und CCU durchbringen wollten. Ich 
nehme zur Kenntnis, dass Sie, als Sie persönlich die Gelegenheit hatten, es durchzubringen, sich dafür ent -
schieden haben, es nicht zu tun, Herr Kollege.

Meine lieben Kolleginnen und Kollegen, dies ist vor-
erst meine letzte Rede im Deutschen Bundestag. Ich habe mich entschieden, diesmal nicht für den Bundestag zu kandidieren und meinen Schwerpunkt auf die Leitung 
meiner Firma zu legen und dann eben von dort aus die 
deutsche Wirtschaft wieder in Schwung zu bringen.
(Heiterkeit und Beifall bei der FDP)
Politik mache ich dann, wie die meisten Menschen in 
diesem Land, im Ehrenamt weiter.
Viele letzte Reden widmen sich ausführlich der eige-
nen Familie, den Freunden, einem großartigen Umfeld, das eine politische Karriere hier erst ermöglicht hat. Das 
tue ich auch. Alle, die in diesem Moment zuschauen, wissen, dass genau sie damit gemeint sind.
Ich bin sehr stolz, dass es mir im Bereich Energie-
politik möglich war, einen wesentlichen Beitrag zu leis-ten, dass der russische Energiekrieg gegen Deutschland nicht noch viel größere Schäden verursacht hat. Wir ha-
ben schnell viele gute Maßnahmen ergriffen. Das LNG- 
Beschleunigungsgesetz sei hier beispielhaft als großer Erfolg genannt, der auch aufzeigt, dass die politische Ver -
hinderung von Technologie in diesem Land sehr teuer bezahlt werden muss. Dieses Gesetz aus dem Hause des Wirtschaftsministers im Wesentlichen unverändert gegen den Widerstand aus seiner eigenen Fraktion erfolgreich 
durch dieses Parlament gebracht zu haben, zählt zu den 
skurrilsten Erlebnissen, über die ich wohl ein Buch schreiben könnte, weil sie so vielfältig sind."
"
Michael Kruse",FDP,"Die wachsenden Herausforderungen, vor denen dieses 
Land steht, bedürfen auch wachsender Anstrengungen von uns allen. Mein größter Wunsch ist, dass es dabei 
im Wesentlichen um die Sache geht und nicht nur um 
die Erweckung des Eindrucks, dass es einem um die Sache geht."
"
Michael Kruse",FDP,"Euch und Ihnen allen wünsche ich faire, harte, kluge, 
zu guten Entscheidungen beitragende Debatten und ein 
Aufwachsen der politischen Mitte durch lebensnahe Ent-scheidungen.
Herzlichen Dank für die Aufmerksamkeit."
"

Marc Bernhard",AfD,"Frau Präsidentin! Meine Damen und Herren! Deutsch-
land ist die einzige Industrienation auf der Welt, die sich in der Rezession befindet, und zwar bereits im dritten 
Jahr. Viele Menschen können kaum noch ihre Energie-
rechnungen bezahlen und müssen sich überlegen, ob sie überhaupt noch ihre Heizung aufdrehen können. Die Ne-benkosten explodieren. Den Menschen bleibt immer we-
niger Netto vom Brutto. Die regierungsgemachte Infla-
tion zerstört den Wohlstand vieler Menschen. Viele Unternehmen – und damit die Arbeitsplätze – verlassen 
massenhaft unser Land oder müssen für immer schließen. 
Und warum ist das so? Weil diese Regierung dafür ge -
sorgt hat, dass wir die höchsten Steuern der Welt und die 
höchsten Energiepreise der Welt zahlen müssen. Jede 
normale Regierung auf der Welt würde in so einer Situa-tion die Steuern senken

und dafür sorgen, dass die Energie wieder bezahlbar ist. Aber was machen Sie? Sie machen genau das Gegenteil: 
Sie erhöhen die Steuern immer weiter und machen Ener-
gie immer noch teurer.
(Bernhard Herrmann [BÜNDNIS 90/DIE 
GRÜNEN]: Falsch!)
Sie haben die CO
2-Steuer innerhalb von gerade mal 
zwölf Monaten um über 80 Prozent erhöht. Inzwischen zahlen wir für jeden Liter Diesel, für jeden Liter Heizöl 
18 Cent nur CO
2-Steuer. Durch Ihre CO 2-Steuer hat eine 
vierköpfige Familie schon jetzt eine durchschnittliche 
Belastung
(Filiz Polat [BÜNDNIS 90/DIE GRÜNEN]: 
Sagen Sie mal, welche Kontakte Sie pflegen! 
Sagen Sie das mal, Herr Bernhard!)
– ich weiß, dass Sie das nicht interessiert, weil Sie hier 
genügend Geld verdienen – von 2 000 Euro jedes Jahr, 
nur für die CO 2-Steuer.Aber damit ist es Ihnen ja nicht genug. Jetzt wollen Sie 
auch noch die Umsetzung des CO 2-Zertifikatehandels für 
die Sektoren „Fahrzeuge“ und „Gebäude“ beschließen. Experten gehen davon aus, dass wir dadurch ab 2027 
für jeden Liter Diesel, für jeden Liter Heizöl 1 Euro nur 
für Ihre CO
2-Steuer bezahlen müssen. Das bedeutet, dass 
in zwei Jahren der Liter Diesel mindestens 2,50 Euro 
kosten wird. Dann trägt eine Familie eine durchschnitt-
liche Mehrbelastung von 9 000 Euro pro Jahr – nur wegen Ihrer CO
2-Steuer. Viele Menschen werden das nicht mehr 
bezahlen können.
Ihre CO 2-Steuer zwingt die Unternehmen, ihre Pro-
duktion ins Ausland zu verlagern, um überleben zu kön-nen: dorthin, wo Energie günstig ist, die Steuern niedrig 
sind und wo es insbesondere keine CO
2-Steuer gibt,

wie zum Beispiel nach China, das nach Ihrem Pariser Klimaabkommen bis 2030 seinen CO
2-Ausstoß ja unbe-
grenzt weiter erhöhen darf. Durch Ihre CO 2-Steuer wird 
also keine einzige Tonne CO 2 eingespart, sondern ganz 
einfach nur ins Ausland verlagert. Genau das ist es, was in unserem Land gerade passiert.
Das alles haben sie von der Ex-Ampel gemeinsam mit 
der CDU zu verantworten.

Denn wer hat denn die CO
2-Steuer in Deutschland über-
haupt erst eingeführt? Das waren doch Sie von der CDU unter Merkel. Und wer hat auf europäischer Ebene dafür 
gesorgt, dass der CO
2-Zertifikatehandel in Zukunft auch 
auf Wohnhäuser und Autos ausgeweitet wird? Das waren doch auch Sie von der CDU mit Ihrer Kommissionsprä -
sidentin von der Leyen.

Einzig die Alternative für Deutschland, wir, die AfD, 
werden diesen Wahnsinn stoppen. Denn eine AfD-Regie-
rung wird die Steuern auf breiter Front senken, die CO
2- 
Steuer vollständig abschaffen und dafür sorgen, dass 
Energie in Deutschland wieder für jedermann bezahlbar 
ist."
"
Markus Hümpfer",SPD,"Sehr geehrte Frau Präsidentin! Meine sehr geehrten 
Damen und Herren! Meine letzte Rede in dieser Wahl-periode stimmt mich recht zuversichtlich, weil wir jetzt noch wichtige Änderungen auf den Weg bringen für die Versorgungssicherheit in diesem Land, für die Unterneh -
men in diesem Land und am Ende auch für die Bürgerin-nen und Bürger in diesem Land.
Wenn man meinem Vorredner so zuhört, dann merkt 
man, dass diese Partei absolut keine Ahnung hat von EnergiekostenDeutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27509 
(A) 
(B) (C) 
(D) 
(Lachen bei Abgeordneten der AfD – Dr. Bernd 
Baumann [AfD]: Das sagt die SPD! Fragen Sie 
mal die Industrie!)
und von dem, was notwendig ist, um diese eine Welt, die wir haben, am Ende auch zu erhalten. Sie sind Klima-
leugner!

Wir haben jetzt zahlreiche Gesetzentwürfe vorliegen, 
unter anderem auch zur Bioenergie. Es ist gut, dass wir 
diese Gesetzentwürfe jetzt auch endlich beschließen kön-
nen. Meine Kollegin Frau Dr. Scheer hat es schon gesagt: Es wäre schön gewesen, wenn es an der einen oder ande-
ren Stelle weitergegangen wäre. Aber wichtig ist, dass 
wir jetzt die Ausschreibungsvolumina erhöhen, dass wir jetzt den Flexibilitätszuschlag erhöhen, um die Biogas -
anlagen in die Zukunft zu retten und um dafür zu sorgen, 
dass wir in einem System fluktuierender Stromerzeugung 
am Ende auch die Flexibilität haben, diese Fluktuationen auszugleichen. Dafür sind Biogasanlagen, meine sehr ge -
ehrten Damen und Herren, genau richtig. Deswegen ist es wichtig, dass wir das auch so beschließen.

Auch beim KWKG ist die Verlängerung dringend not-
wendig. Wir sehen, dass wir das KWKG brauchen, um Fern- und Nahwärme auszubauen, um dafür zu sorgen, 
dass wir den Gebäudebestand in unseren Städten dekar-
bonisieren können. Denn am Ende kommt es natürlich darauf an, dass wir CO
2 einsparen, um diese eine Welt, 
die wir haben, zu erhalten.
Zur Wahrheit gehört auch, dass wir den Zubau der 
Windenergie nicht wieder drosseln dürfen. Da schaue ich schon auch in Richtung Unionsfraktion, weil das 
nämlich schon einmal passiert ist. Das war schon einmal 
ein großer Fehler. Deshalb warne ich ausdrücklich davor, ein Moratorium für die Windenergie zu beschließen. Das 
wird es mit meiner Fraktion, mit der SPD, nicht geben.

Jetzt geht es darum, dieses Gesetzespaket auf den Weg 
zu bringen und für Sicherheit zu sorgen für die Unterneh-
men in diesem Land, für die Bürgerinnen und Bürger. 
Deshalb stimmen wir diesen Gesetzentwürfen zu.
Vielen Dank."
"
Ralph Lenkert",Die Linke,"Sehr geehrte Frau Präsidentin! Ich mache es kurz: Fünf 
Energiegesetze – alle dringend notwendig – stehen zur Abstimmung. Dass ich nach 15 Jahren im Bundestag 
zur Abstimmung von Gesetzen meiner Gruppe Die Linke dreimal Zustimmung, einmal Enthaltung und nur eine 
Ablehnung empfehle, das ist neu.
(Heiterkeit der Abg. Dr. Ingrid Nestle 
[BÜNDNIS 90/DIE GRÜNEN])
Und dass dann noch Forderungen der Linken einflossen 
und dass die überhastete Verabschiedung des Bundes-bedarfsplanes Strom nicht erfolgte, das ist gut. Danke!

Liebe Bürgerinnen und Bürger, im nächsten Bundestag 
wird die Linksfraktion erneut vorschlagen:
(Beatrix von Storch [AfD]: Da seid ihr lange 
weg!)
ein preiswertes Grundkontingent für Strom und Heizung 
gegen Energiearmut, die dauerhafte Senkung der Strom-
steuer, eine Gebotszonentrennung, ein neues Strom-marktsystem, die Verstaatlichung der Übertragungsnetze, 
Änderungen bei den Netzentgelten und Regelungen, da-
mit Windräder laufen, statt zu stehen. Mit all diesen Maß-nahmen senken wir den Strompreis für Dienstleistungen 
und Haushalte um 9 Cent je Kilowattstunde.
Dazu fordern wir einen Industriestrompreis zwischen 4 und 6 Cent für sichere Arbeitsplätze. Mit 0,5 Cent an 
Kommunen als Ausgleich für jede auf Gemeindegebiet erzeugte Kilowattstunde Windstrom werden Windparks 
zwar nicht besser, aber erträglicher."
